company,old,title,link,salary,netgross,city
Ignitis grupė,prieš 2 d.,ETL/DATA DEVELOPER,https://www.cvbankas.lt/etl-data-developer-klaipedoje/1-9090605,1860-3242,Neatskaičius mokesčių,Klaipėdoje
Ignitis grupė,prieš 2 d.,ETL/DATA DEVELOPER (REMOTE),https://www.cvbankas.lt/etl-data-developer-remote-vilniuje/1-8735538,1860-3242,Neatskaičius mokesčių,Vilniuje
VšĮ Lietuvos nacionalinis radijas ir televizija,prieš 2 d.,Serviso inžinierius (-ė) TV technikos skyriuje,https://www.cvbankas.lt/serviso-inzinierius-e-tv-technikos-skyriuje-vilniuje/1-9090591,2460-3380,Neatskaičius mokesčių,Vilniuje
UAB „Optimalūs projektai“,prieš 2 d.,VVS specialistas,https://www.cvbankas.lt/vvs-specialistas-kaune/1-9089793,Nuo 2500,Neatskaičius mokesčių,Kaune
UAB „Inulti“,prieš 2 d.,BACKEND ENGINEER (PHP),https://www.cvbankas.lt/backend-engineer-php-vilniuje/1-7119593,3000-6500,Neatskaičius mokesčių,Vilniuje
ATEA grupė,prieš 2 d.,PHP PROGRAMUOTOJAS (-A),https://www.cvbankas.lt/php-programuotojas-a-siauliuose/1-9090339,1000-2000,Į rankas,Šiauliuose
ATEA grupė,prieš 2 d.,ORACLE PROGRAMUOTOJAS (-A),https://www.cvbankas.lt/oracle-programuotojas-a-vilniuje/1-9090325,1400-2200,Į rankas,Vilniuje
ATEA grupė,prieš 2 d.,SISTEMŲ ANALITIKAS (-Ė),https://www.cvbankas.lt/sistemu-analitikas-e-kaune/1-9090313,900-1700,Į rankas,Kaune
UAB „Bauwerk Group Lietuva“,prieš 2 d.,IT inžinierius (-ė),https://www.cvbankas.lt/it-inzinierius-e-kaisiadoryse/1-9090027,Nuo 2300,Neatskaičius mokesčių,Kaišiadoryse
FORBIS,prieš 2 d.,Java technologijų architektas (-ė),https://www.cvbankas.lt/java-technologiju-architektas-e-vilniuje/1-8390271,5000-7000,Neatskaičius mokesčių,Vilniuje
Lietuvos kariuomenės Gynybos štabas,prieš 2 d.,Informacinių technologijų ir ryšių saugumo specialistas (-ė),https://www.cvbankas.lt/informaciniu-technologiju-ir-rysiu-saugumo-specialistas-e-vilniuje/1-8786954,2000-3000,Neatskaičius mokesčių,Vilniuje
UAB „Atticae“,prieš 2 d.,IT inžinierius (-ė) - administratorius (-ė),https://www.cvbankas.lt/it-inzinierius-e-administratorius-e-kaune/1-9089745,Nuo 1000,Į rankas,Kaune
UniCall,prieš 2 d.,PHP programuotojas (Full stack),https://www.cvbankas.lt/php-programuotojas-full-stack-kaune/1-8102585,2000,Į rankas,Kaune
UAB „Ruptela“,prieš 2 d.,Techninių dokumentų specialistas (-ė),https://www.cvbankas.lt/techniniu-dokumentu-specialistas-e-vilniuje/1-9089765,Nuo 1655,Neatskaičius mokesčių,Vilniuje
UAB „Dokobit“,prieš 2 d.,PHP Developer,https://www.cvbankas.lt/php-developer-vilniuje/1-6293761,2500-5200,Neatskaičius mokesčių,Vilniuje
UAB „SME Finance“,prieš 2 d.,Product Owner for Mobile App,https://www.cvbankas.lt/product-owner-for-mobile-app-vilniuje/1-8956742,Nuo 3800,Neatskaičius mokesčių,Vilniuje
Lietuvos transporto saugos administracija,prieš 2 d.,Kibernetinio saugumo specialistas,https://www.cvbankas.lt/kibernetinio-saugumo-specialistas-vilniuje/1-9040025,Nuo 1200,Neatskaičius mokesčių,Vilniuje
Vilniaus universitetas,Liko 4 dienos,Vyresnysis (-ioji) IT specialistas (-ė) Informacinių technologijų paslaugų centre,https://www.cvbankas.lt/vyresnysis-ioji-it-specialistas-e-informaciniu-technologiju-paslaugu-centre-vilniuje/1-9089535,1740-2350,Neatskaičius mokesčių,Vilniuje
UAB „Vėjo projektai“,prieš 2 d.,Dizaino inžinierius (-ė),https://www.cvbankas.lt/dizaino-inzinierius-e-klaipedoje/1-9089493,Nuo 900,Į rankas,Klaipėdoje
UAB „Indigroup“,prieš 2 d.,Full-Stack .NET Developer,https://www.cvbankas.lt/full-stack-net-developer-vilniuje/1-9089451,3800-6000,Neatskaičius mokesčių,Vilniuje
UAB „Data Bank Group“,prieš 2 d.,IT inžinierius (-ė) - IT specialistas (-ė) (I ir II lygiai),https://www.cvbankas.lt/it-inzinierius-e-it-specialistas-e-i-ir-ii-lygiai-kaune/1-4236977,1000-2000,Neatskaičius mokesčių,Kaune
UAB „BALTIC VIRTUAL ASSISTANTS“,prieš 2 d.,Technical Solutions Architect,https://www.cvbankas.lt/technical-solutions-architect-vilniuje/1-8956022,,,Vilniuje
UAB „BALTIC VIRTUAL ASSISTANTS“,prieš 2 d.,Senior Back-end Developer,https://www.cvbankas.lt/senior-back-end-developer-vilniuje/1-8956012,,,Vilniuje
Oxylabs,prieš 2 d.,Senior PHP developer,https://www.cvbankas.lt/senior-php-developer-vilniuje/1-8829158,3100-5950,Neatskaičius mokesčių,Vilniuje
UAB „BALTIC VIRTUAL ASSISTANTS“,prieš 2 d.,Scrum Master (part-time),https://www.cvbankas.lt/scrum-master-part-time-vilniuje/1-8956006,1500-1700,Neatskaičius mokesčių,Vilniuje
UAB „BALTIC VIRTUAL ASSISTANTS“,prieš 2 d.,PHP developer (part-time),https://www.cvbankas.lt/php-developer-part-time-vilniuje/1-8956004,850-1030,Neatskaičius mokesčių,Vilniuje
UAB „BALTIC VIRTUAL ASSISTANTS“,prieš 2 d.,Identity and Access Management System Engineer,https://www.cvbankas.lt/identity-and-access-management-system-engineer-vilniuje/1-8956002,2220-5000,Neatskaičius mokesčių,Vilniuje
